LOCO ,TYPE OF LOCO,ZONE,BASE SHED,DIVISION,DATE OF COMMENCEMENT
30263,WAP7,CR,AQE,NGP,06-Mar-11
30265,WAP7,CR,AQE,NGP,22-Feb-11
30266,WAP7,CR,AQE,NGP,09-Jan-11
30267,WAP7,CR,AQE,NGP,27-Jan-11
30296,WAP7,CR,AQE,NGP,07-Jul-11
30301,WAP7,CR,AQE,NGP,24-Apr-12
30303,WAP7,CR,AQE,NGP,25-Nov-11
30310,WAP7,CR,AQE,NGP,22-Feb-12
30315,WAP7,CR,AQE,NGP,12-Sep-12
30465,WAP7,CR,AQE,NGP,23-May-16
30467,WAP7,CR,AQE,NGP,23-May-16
30489,WAP7,CR,AQE,NGP,30-Sep-16
30499,WAP7,CR,AQE,NGP,02-Dec-16
30514,WAP7,CR,AQE,NGP,05-Mar-17
30518,WAP7,CR,AQE,NGP,15-Mar-17
30616,WAP7,CR,AQE,NGP,04-Apr-18
30702,WAP7,CR,AQE,NGP,20-Jul-18
30735,WAP7,CR,AQE,NGP,30-Sep-18
30771,WAP7,CR,AQE,NGP,17-Dec-20
30789,WAP7,CR,AQE,NGP,19-Aug-20
30797,WAP7,CR,AQE,NGP,27-Aug-20
30798,WAP7,CR,AQE,NGP,07-Sep-20
30799,WAP7,CR,AQE,NGP,12-Dec-20
31027,WAG9H,CR,AQE,NGP,02-Nov-03
31033,WAG9H,CR,AQE,NGP,03-Nov-03
31040,WAG9H,CR,AQE,NGP,07-Dec-03
31061,WAG9H,CR,AQE,NGP,01-Mar-04
31062,WAG9H,CR,AQE,NGP,14-Apr-04
31063,WAG9H,CR,AQE,NGP,03-Jun-04
31065,WAG9H,CR,AQE,NGP,15-Aug-04
31067,WAG9H,CR,AQE,NGP,18-Oct-04
31069,WAG9H,CR,AQE,NGP,24-Dec-04
31070,WAG9H,CR,AQE,NGP,19-Jan-05
31071,WAG9H,CR,AQE,NGP,01-Dec-05
31072,WAG9H,CR,AQE,NGP,16-Apr-05
31073,WAG9H,CR,AQE,NGP,29-Mar-05
31075,WAG9H,CR,AQE,NGP,01-Jun-05
31076,WAG9H,CR,AQE,NGP,01-Oct-05
31077,WAG9H,CR,AQE,NGP,21-Oct-05
31078,WAG9H,CR,AQE,NGP,02-Nov-05
31080,WAG9H,CR,AQE,NGP,19-Nov-05
31081,WAG9H,CR,AQE,NGP,01-Dec-05
31083,WAG9H,CR,AQE,NGP,31-Dec-05
31084,WAG9H,CR,AQE,NGP,14-Jan-06
31085,WAG9H,CR,AQE,NGP,01-Feb-06
31087,WAG9H,CR,AQE,NGP,24-Feb-06
31088,WAG9H,CR,AQE,NGP,12-Mar-06
31089,WAG9H,CR,AQE,NGP,18-Mar-06
31090,WAG9H,CR,AQE,NGP,17-Apr-06
31091,WAG9H,CR,AQE,NGP,12-Apr-06
31092,WAG9H,CR,AQE,NGP,17-Jun-06
31093,WAG9H,CR,AQE,NGP,02-Jun-06
31094,WAG9H,CR,AQE,NGP,12-Jun-06
31095,WAG9H,CR,AQE,NGP,26-Jun-06
31096,WAG9H,CR,AQE,NGP,28-Jun-06
31097,WAG9H,CR,AQE,NGP,21-Jul-06
31098,WAG9H,CR,AQE,NGP,16-Jul-06
31099,WAG9H,CR,AQE,NGP,24-Jul-06
31100,WAG9H,CR,AQE,NGP,12-Aug-06
31101,WAG9H,CR,AQE,NGP,26-Aug-06
31102,WAG9H,CR,AQE,NGP,30-Aug-06
31103,WAG9H,CR,AQE,NGP,24-Sep-06
31104,WAG9H,CR,AQE,NGP,16-Dec-06
31105,WAG9H,CR,AQE,NGP,04-Oct-06
31106,WAG9H,CR,AQE,NGP,12-Oct-06
31107,WAG9,CR,AQE,NGP,24-Nov-06
31108,WAG9H,CR,AQE,NGP,23-Oct-06
31109,WAG9H,CR,AQE,NGP,05-Dec-06
31111,WAG9H,CR,AQE,NGP,05-Jan-07
31112,WAG9H,CR,AQE,NGP,26-Dec-06
31113,WAG9H,CR,AQE,NGP,03-Jan-07
31114,WAG9H,CR,AQE,NGP,06-Jan-07
31115,WAG9H,CR,AQE,NGP,15-Jan-07
31116,WAG9H,CR,AQE,NGP,05-Feb-07
31117,WAG9H,CR,AQE,NGP,14-Feb-07
31118,WAG9H,CR,AQE,NGP,10-Feb-07
31119,WAG9H,CR,AQE,NGP,11-Feb-07
31222,WAG9H,CR,AQE,NGP,28-Nov-09
